utc_timestamp;BE_load_actual_entsoe_transparency
2015-01-26T12:00:00Z;125.390.000
2015-01-26T13:00:00Z;123.910.000
2015-01-26T14:00:00Z;123.020.000
2015-01-26T15:00:00Z;123.150.000
2015-01-26T16:00:00Z;127.200.000
2015-01-26T17:00:00Z;130.640.000
2015-01-26T18:00:00Z;124.940.000
2015-01-26T19:00:00Z;118.910.000
2015-01-26T20:00:00Z;112.320.000
2015-01-26T21:00:00Z;114.150.000
2015-01-26T22:00:00Z;113.010.000
2015-01-26T23:00:00Z;106.420.000
2015-01-27T00:00:00Z;101.850.000
2015-01-27T01:00:00Z;98.630.000
2015-01-27T02:00:00Z;96.950.000
2015-01-27T03:00:00Z;97.460.000
2015-01-27T04:00:00Z;100.700.000
2015-01-27T05:00:00Z;112.370.000
2015-01-27T06:00:00Z;121.990.000
2015-01-27T07:00:00Z;123.970.000
2015-01-27T08:00:00Z;123.840.000
2015-01-27T09:00:00Z;124.550.000
2015-01-27T10:00:00Z;125.750.000
2015-01-27T11:00:00Z;123.780.000
2015-01-27T12:00:00Z;123.770.000
2015-01-27T13:00:00Z;122.580.000
2015-01-27T14:00:00Z;121.360.000
2015-01-27T15:00:00Z;120.530.000
2015-01-27T16:00:00Z;126.170.000
2015-01-27T17:00:00Z;131.030.000
2015-01-27T18:00:00Z;126.350.000
2015-01-27T19:00:00Z;119.470.000
2015-01-27T20:00:00Z;113.520.000
2015-01-27T21:00:00Z;114.210.000
2015-01-27T22:00:00Z;113.700.000
2015-01-27T23:00:00Z;107.540.000
2015-01-28T00:00:00Z;102.510.000
2015-01-28T01:00:00Z;99.420.000
2015-01-28T02:00:00Z;97.360.000
2015-01-28T03:00:00Z;97.050.000
2015-01-28T04:00:00Z;100.880.000
2015-01-28T05:00:00Z;111.710.000
2015-01-28T06:00:00Z;120.890.000
2015-01-28T07:00:00Z;124.800.000
2015-01-28T08:00:00Z;125.470.000
2015-01-28T09:00:00Z;125.850.000
2015-01-28T10:00:00Z;127.030.000
2015-01-28T11:00:00Z;125.840.000
2015-01-28T12:00:00Z;126.780.000
